doc_id,art_id,entity_text,entity_label,pattern_group,full_context,words_before_count,words_after_count
3F66D749,3F66D749_1,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"electorales constitucionales ; Proceso electivo : El relativo a la renovación de los Comités Ciudadanos , los Consejos de los Pueblos y demás procedimientos de participación ciudadana previstos en la **ley de la materia** ; Proceso electoral : El relativo a la renovación periódica por voto universal , libre , secreto y directo de la Jefatura de Gobierno , Diputaciones al Congreso de la",30,30
3F66D749,3F66D749_28,Ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,resolución de la controversia . El Tribunal únicamente tendrá competencia para conocer y resolver los conflictos sometidos a su jurisdicción en los procesos de participación ciudadana que expresamente determine la **Ley de la materia** .,30,1
3F66D749,3F66D749_41,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"están señalados por días , éstos se considerarán de veinticuatro horas . Tratándose de los procesos de participación ciudadana , el párrafo anterior aplicará exclusivamente para aquellos previstos en la **ley de la materia** como competencia del Tribunal . Los asuntos generados durante dichos procesos que no guarden relación con éstos , no se sujetarán a la regla anterior . Durante el tiempo que",30,30
3F66D749,3F66D749_101QUATER,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"en donde se establecerán los mismos plazos que concurren para el trámite en formato físico ; La reserva y protección de datos personales de conformidad con lo establecido por la **ley de la materia** ; El derecho de las partes de solicitar la reproducción simple o certificada de cualquier constancia que obre en el expediente electrónico , lo cual se autorizará mediante acuerdo del",30,30
3F66D749,3F66D749_122,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"partido político , siempre y cuando implique violación a un derecho político - electoral ; En las controversias que deriven de los procesos de participación ciudadana expresamente previstos en la **ley de la materia** como competencia del Tribunal , siempre y cuando se hagan valer presuntas violaciones a sus derechos político - electorales ; Fracción reformada G . O . CDMX 23 / 12",30,30
3F66D749,3F66D749_171,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"derive de una demanda entre la persona servidora pública y el Tribunal , se le comunicará a la Contraloría General para que determine lo que corresponda de conformidad con la **ley de la materia** ; y Concluido el desahogo de pruebas , las partes podrán formular alegatos verbalmente o por escrito en la misma audiencia ; o en el término que les sea otorgado",30,30
50BEA374,50BEA374_68,Ley en la Materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"que se someta la Propuesta Regulatoria a la Jefatura de Gobierno , cuando ésta pretenda resolver o prevenir una situación de emergencia , de conformidad a lo previsto en la **Ley en la Materia** . Así mismo , se dará trato de emergencia cuando se actualice algunos de los siguientes supuestos : Busque evitar un daño inminente , o bien atenuar o eliminar un",30,30
660CBA22,660CBA22_44,"Ley de
la materia",LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"datos personales de los visitantes de los sentenciados , quedarán en custodia de la Autoridad Penitenciaria , por lo que su uso será reservado conforme a lo establecido en la **Ley de la materia** . Todo lo anterior bajo el respeto irrestricto de los Derechos Humanos , tanto de los visitantes como de los sentenciados en los Centros Penitenciarios .",30,26
491D6477,491D6477_TRANS,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,", serán exigibles , en lo que resulte aplicable , hasta en tanto , el Comité Coordinador del Sistema Anticorrupción de la Ciudad de México , de conformidad con la **ley de la materia** , emita los lineamientos , criterios y demás resoluciones conducentes de su competencia . Hasta en tanto el Comité Coordinador del Sistema Anticorrupción de la Ciudad de México determine los",30,30
3A2C8488,3A2C8488_14,Ley en la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"el cumplimiento de las Alcaldías en el envío de la información ; Establecer los niveles de acceso a la información de los Atlas de Riesgos en los términos de la **Ley en la materia** ; Actualizar , en el ámbito de su competencia , los instrumentos de la Gestión Integral de Riesgos y Protección Civil ; Resolver las consultas que los integrantes del Sistema",30,30
3A2C8488,3A2C8488_200,Ley en la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"documentos , constancias , formularios , registros y certificados que se le proporcionen para el ejercicio de las funciones que se le han conferido , en los términos de la **Ley en la materia** .",30,1
C57B66D6,C57B66D6_189,Ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"de partición y adjudicación tal como haya sido ordenado por el autor de la sucesión en su testamento . A falta de éste , conforme a las disposiciones de la **Ley de la materia** para los intestados , como los propios herederos convengan .",30,10
C57B66D6,C57B66D6_228,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"las personas autorizadas del Colegio , previa autorización de la Autoridad Competente . El servidor público que contravenga lo anterior será sujeto de responsabilidad administrativa en los términos de la **ley de la materia** , sin perjuicio de la aplicación de sanciones penales , cuando en el caso procedan .",30,16
F85A3C2E,F85A3C2E_3,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,", las que por repetición , impongan la obligación a las personas servidoras públicas de resarcir al Estado el pago correspondiente a la indemnización , en los términos de la **ley de la materia** ; Las que requieran el pago de garantías a favor de la entidad federativa o las demarcaciones territoriales ; Las dictadas por las autoridades administrativas que pongan fin a un",30,30
F85A3C2E,F85A3C2E_31,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"reclamante , y las que por repetición impongan la obligación a los servidores públicos de resarcir al Estado los pagos correspondientes a la indemnización , en los términos de la **ley de la materia** ; Las dictadas en los juicios promovidos por los Secretarios de Acuerdos , Actuarios y demás personal del tribunal , en contra de sanciones derivadas de actos u omisiones que",30,30
BD22E724,BD22E724_32,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"25 Las demás que le sean encomendadas por la persona titular de la Secretaría , congruentes con la normatividad aplicable y que tengan alguna de las finalidades enunciadas en la **ley de la materia** y en el presente Reglamento . Fracción adicionada G . O . CDMX 30 / 04 / 25",30,18
BD22E724,BD22E724_33,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"25 Las demás que le sean encomendadas por la persona titular de la Secretaría , congruentes con la normatividad aplicable y que tengan alguna de las finalidades enunciadas en la **ley de la materia** y en el presente Reglamento . Fracción adicionada G . O . CDMX 30 / 04 / 25",30,18
BD22E724,BD22E724_153BIS,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"como emitir proyectos de resolución para consideración de la persona titular de la Secretaría de Planeación , Ordenamiento Territorial y Coordinación Metropolitana de conformidad con el procedimiento señalado en la **ley de la materia** ; Elaborar en el ámbito de su competencia el proyecto de tabla de compatibilidades de los usos de suelo y remitirlo a la persona titular de la Secretaría de Planeación",30,30
BD22E724,BD22E724_157,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"y Las demás que le sean encomendadas por la persona titular de la Secretaría , congruentes con la normatividad aplicable y que tengan alguna de las finalidades enunciadas en la **ley de la materia** y en el presente Reglamento .",30,6
BD22E724,BD22E724_159,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"y Las demás que le sean encomendadas por la persona titular de la Secretaría , congruentes con la normatividad aplicable y que tengan alguna de las finalidades enunciadas en la **ley de la materia** y en el presente Reglamento .",30,6
BD22E724,BD22E724_160,ley de la materia,LEY_DE_MATERIA,SPECIFIC_LAW_MENTIONS,"y Las demás que le sean encomendadas por la persona titular de la Secretaría , congruentes con la normatividad aplicable y que tengan alguna de las finalidades enunciadas en la **ley de la materia** y en el presente Reglamento .",30,6
